1874-290924;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/70/57/27/70572708630796952049341440790435645465.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290924;Tooneel des oorlogs aan den Dnieper, Tira en Donauw in den jare 1738 gevoerd;1738;I. Punt del. et fecit;I. en G. Kondet sculp;640;470;2500000;Moll 629
1874-290925;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/38/48/75/38487587495975963964488780434910522918.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290925;Nouveau théatre de la guerre entre les Turcs et les Russes et l'Empereur;1788;Petit sculp.;;760;520;4500000;Moll 630
1874-290926;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/80/30/128030146206251149527649059591001158716.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290926;Kaart van de Zweedse en Russische krygs-verrigtingen in Finland A° 1788;1788;P. v. Eeusom jnr. sculp.;;370;210;155000;Moll 631
1874-290927;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/14/80/11/148011836999872185235042432110006577331.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290927;Kaart van de krygs-verrigtingen der Zweeden en Russen in Finland A°. 1789;1789;door Roos;;380;470;123000;Moll 632
1874-290928;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/46/62/23/46622380320032622925704389097395396285.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290928;Tableau des opérations de la Grande Armée depuis l'ouverture de la campagne jusqu'au 21 Aout 1812;1812;;;420;300;2300000;Moll 633
1874-290929;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/51/07/62/51076270127455779877003561597006254456.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290929;Tableau des opérations de la Grande Armée depuis le 8 Aout jusqu'au 20 8bre 1812 (marche de Smolensk à Moscou);1812;Et.ne Henry del. et sculpt.;;340;270;2300000;Moll 634
1874-290930;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/42/85/52/42855286120724683413919680263824796248.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290930;Campements der boesen Allirten und Französischen Armée als selbige auff der Rastatter Seithe A° 1697 gestanden;1697;;;350;250;37500;Moll 635
1874-290931;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/84/69/168469774441333570733184955912987041161.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290931;Plan de la ville de Stralzund: assiégeé par les armees du roy du Dannemark du roy du Prusse et des troupes du roy de Pologne;1715;P. v. Cal F[ecit];;550;410;;Moll 636
1874-290932;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/50/38/20/50382076421836163795372430310890458866.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290932;Nouveau plan de la ville de Luxembourg avec tous les ouvrages que le general De Bauffe y a fait faire depuis l'Année 1724;1743;De St. Hilaire Mallet Ing.r sculps. 1742;;560;430;5000;Moll 637
1874-290933;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/48/85/1548857715857802790857482831146726426.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290933;Grundris der Vestung Philippsburg nebst denen feindlichen Attaquen, Circumvalations-Linien u. Batterien aus welchen die Französische Armee den 23. May. 1734 die Vestung zu belagern, und den 7. Juny, selbige zu beschiessen angefangen und nach tapferer [...];1734;auf das accurateste vorgestellet von einem berühmten Ingenieur L. S. C.;;590;480;20000;Moll 638
1874-290934;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/68/49/27/68492712117906276450226276217634633587.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290934;[Termunde aan de Weichsel = Twierdza Wis?ouj?cie aan de Wisla];1742;J.T. Ribbius, mathem.;;520;410;2300;Moll 639
1874-290935;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/17/28/101728924161812111306247747524885283249.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290935;Plan du siege de Cassel, avec les travaux et les tranchées des alliés devant cette place, commande par S. A. S. Monseigneur Le Prince Frederic Auguste Duc de Brunswic et de Luneburg, ... depuis le 18. d'Aout jusqu'au 1. Novembre 1762 où la place se [...];1763;... levé par H.D. Gerlach lieutenant du Genie;gravé sous la direction de J. v. Schley;590;850;22000;Moll 640
1874-290936;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/35/30/113530840053709443804331498463158081974.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290936;Plan der Schlacht bey Austerlitz am zweiten December 1805 : zwischen den vereinigten Russischen und Österreichschen, und dem Französischen Heere;1806;;;290;210;175000;Moll 641
1874-290937;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/40/60/34/40603413261502167402797409057697710210.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290937;[Langakkerschans of Nieuweschans en omgeving];1750;;;380;330;6000;Moll 642
1874-290938;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/80/91/67/80916743395316250399007008381981656218.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290938;Plan van Delfzyl;1784;;;770;520;2000;Moll 643
1874-290939;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/38/33/40/3833409025468014045092286673656680458.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290939;De belegering en opbreeking der bisschoppen van Ceulen en Munster voor de stad Groningen ... 1672;1800;gecopiëerd door B.W. Cranssen naar het origineel van Hendricus Teysinga;;440;330;5400;Moll 644
1874-290940;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/53/72/115372377360113138629892631923740060398.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290940;Figuratif plan der redoutes voor Groningen;1800;[door H.J. Weits?];;500;400;;Moll 645
1874-290941;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/13/25/04/132504007279279478150890395196496213275.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290941;Plan van de werken buiten Groningen;1800;;;730;220;2750;Moll 646
1874-290942;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/64/96/126496250253325586388451526087193913730.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290942;Plan der nieuwe werken voor Groningen;1800;[door H.J. Weits?];;690;470;2250;Moll 647
1874-290943;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/83/94/53/83945358155114350329190806768559729474.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290943;Plan van Groenenstein, onderhorige landerijen en verdere situatie, gelegen tegen de Conterscharp en Schuitendiep etc. buiten Groningen;1799;gemeeten, etc. door H.J. Weits, I. Kronenberg en B.W. Cranssen ...;;570;560;1675;Moll 648
1874-290944;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/78/22/107822661463733392762287695583693050528.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290944;[Zuid-Groningen en Drente];1760;[door H.J. Weits (?)];;990;620;100000;Moll 649
1874-290945;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/81/60/98/81609833868614371707732527787583821583.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290945;Platte grond van de Fortresse Bourtange ten jare 1742 nauwkeurig opgenomen;1743;;;510;440;;Moll 650
1874-290946;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/47/78/48/47784842812724902189500868039703116987.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290946;Le plan de Coevorde;1760;;;680;520;2215;Moll 651
1874-290947;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/37/85/56/37855696028007750671421139079215018169.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290947;Plan van de Ommer Schans;1750;;;340;500;5000;Moll 652
1874-290948;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/42/74/164274555245717317255536552643891884542.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290948;Afbeelding van 't beleg der stad Alkmaer in 't jaar 1573, door de Spaanschen: agtervolgens d'oudste en beste teekeningen;1747;J.C. Philips f. dir.;Ph. & J. Losel excudit;360;250;12500;Moll 653
1874-290949;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/14/39/62/143962977127931004405116102491893804304.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-290949;Carte des environs d'Amsterdam: représentant d'un coup d'oeil les avenues fortifiées avec les inondations autour de cette ville cèlebre, telles qu'elles étoient vers la fin de septembre 1787, et en même tems les quartiers des troupes prussiennes et [...];1789;;;950;620;;Moll 654
1874-291245;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/60/54/98/60549876212814192876035560121902579055.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291245;[Vestingwerken aan de noordzijde van Naarden];1750;;;400;460;;Moll 655
1874-291246;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/13/19/52/131952936548525680940819521025264808860.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291246;Nieuwe grond-tekening van het Fort Hellevoetsluis;1745;;;210;170;6000;Moll 656
1874-291247;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/24/78/152478025247443000011350532662906659129.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291247;Nymegen, stercke stadt in Gelderland met de nieuwe fortificatie door de Heer Coehoorn;1721;;;500;460;5000;Moll 657
1874-291248;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/89/51/128951991959227127816538369929897422685.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291248;Plan der stad Arnhem;1765;;;920;610;3100;Moll 658
1874-291249;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/24/63/92/24639225339122051221326336856119910831.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291249;[Vestingwerken bij het bastion de Velperpoort in Arnhem];1730;;;490;660;425;Moll 659
1874-291250;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/18/50/111850703025485886296901151515005949806.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291250;Het fort Gelders Oort [bij Westervoort];1750;get. door Bricette;;650;450;2000;Moll 660
1874-291251;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/69/26/156926697375513276133999709342428416064.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291251;Kaart van de stad Utrecht en een zyde van de revier de Leck: met de batteryen retranchementen die door de burgers van Utrecht op orders van den Hr. Rhyn grave Von Salm buiten de stad en omleggende plaatsen in den jaare 1787 zyn opgeworpen;1789;C.H. Koning sculps.;;490;370;35000;Moll 661
1874-291252;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/36/21/77/36217715475045524562412509398697960372.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291252;Carte du camp d'Utrecht, commandé par le général en chef Marmont;1805;dessiné par le Lt. Col. Ing. [G. J.] Le Fèvre de Montigny;gravée et dirigée par C. v. Baarsel;700;570;8000;Moll 662
1874-291253;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/44/93/164493470052948359115804034396777243508.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291253;Plan de la Ville d l'Ecluse en Flandre;1748;F. de Bakker delin: et sculp:;;500;390;5375;Moll 663
1874-291254;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/16/20/30/16203065263589556595014650631540907449.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-291254;Project ter versterking van den Zwartenhoek;1790;;;370;270;3880;Moll 664
