1;Blonk Hol- 1;V;;V;Al aangepast op website BC;1874/20395;;Kaart van Holland, Sebastian Münster, 1558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Blonk Hol- 2;V;;V;Al aangepast op website BC;1874/20396;;Kaart van Holland, Sebastian Münster, 1574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Blonk Hol- 3;V;;V;Al aangepast op website BC;1874/20397;;Kaart van Holland, Sebastian Münster, 1578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Blonk Hol- 4;V;;V;Al aangepast op website BC;1874/20398;;Kaart van Holland, Sebastian Münster, 1628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Blonk Hol- 5;V;;V;Al aangepast op website BC;1874/20399;;Kaart van Holland, Sebastian Münster, 1565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Blonk Hol- 6;V;;V;Al aangepast op website BC;1874/20400;;Kaart van Holland, Lodovico Guicciardini, 1567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Blonk Hol- 7;V;;;Al aangepast op website BC;1874/20401;;Kaart van Holland, Abraham Ortelius, 1570 (1595);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Blonk Hol- 8;V;;V;Al aangepast op website BC;1874/20402;;Kaart van Holland, Girolamo Porro, 1572 (1576);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Blonk Hol- 9;V;;;Al aangepast op website BC;1874/20403;;Kaart van Holland, Abraham Ortelius en Filips Galle, 1577 (1593);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Blonk Hol- 10;V;;;Al aangepast op website BC;1874/20404;;Kaart van Holland, Gerard de Jode, 1578 (na 1593?);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Blonk Hol- 11;V;;;Al aangepast op website BC;1874/20405;;Kaart van Holland, Lodovico Guicciardini, 1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Blonk Hol- 12;V;;;Al aangepast op website BC;1874/20406;;Kaart van Holland, Gerard Mercator, 1585 (1623);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Blonk Hol- 13;V;;;Al aangepast op website BC;1874/20407;;Kaart van Holland, Frans Hogenberg, 1579 (1598);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Blonk Hol- 14;V;;;Al aangepast op website BC;1874/20408;;Kaart van Holland, Gerard en Cornelis de Jode, 1593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Blonk Hol- 15;V;;;Al aangepast op website BC;1874/20409;;Kaart van Holland, Filips Galle, 1595 (1602);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Blonk Hol- 16;V;;V;Al aangepast op website BC;1874/20410;;Kaart van Holland, Mathias Quad, 1592 (1597);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Blonk Hol- 17;V;;;Al aangepast op website BC;1874/20411;;Kaart van Holland, Scipion Banca, 1598 (1667);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Blonk Hol- 18;V;;;Al aangepast op website BC;1874/20412;;Kaart van Holland, Scipion Banca, 1598 (1667);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
