id;image_url;image_format;link;title;date
1874-272317;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/76/29/52/76295297541423222146885969427519574109.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272317;Kaart van den Rhynstroom, van boven de stad Emmerik tot beneden de stad Arnhem ...;1793
1874-272318;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/68/06/106806660742352049648058912776467017604.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272318;Kaart waar op is afgebeeld, het benedenste gedeelte van de Boven Rhyn, van Emmerik, langs het Spyk, met deszelfs dyken, tot daar dezelven sluit, tegens de binnen lyn der oostelyke rand, van de Kaart des Bylandsche Waards;1773
1874-272556;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/15/18/73/151873984145951814272072709334199393348.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272556;Caarte van de rivieren ontrent Schenkenschans met de geconcipieerde doorsnydinge over 't Spijk ...;1770
1874-272557;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/10/90/16/109016005793459543817136228647878410413.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272557;"Nieuwelijx gegraavene doorvaart bij Panderen getrokken van de Waal in den Rijn; zijnde in de over Betuwe in Gelderland";1705
1874-272558;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/47/31/47/47314747280142910568913807030386670612.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272558;"Kaart figuratief van den Waal-stroom, van Schenken-schans tot beneeden het Canaal te Pannerden: waar in vertoont werden de oevers of schaaren die meest van den stroom werden geattaqueert; staande langs dezelve aangetekent de dieptens die daar voor zyn gep";1754
1874-272559;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/11/15/22/111522685164110841278500757667488952381.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272559;Caart van de situatie tussen het Spyck, Pannerden en Candia: uyt verscheyden caarten te samen gestelt waarin te sien is de veranderde loop van den Boven en Beneden Rhyn en Waal by Schenkenschans en Pannerden, den polder van Pannerden, Herwenen Aart, 's Gr;1760
1874-272560;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/65/15/36/65153697725047767332763188591146346081.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272560;Kaart, van den bogtigenloop der Bovenwaal, zo als dezelve by inspectie en meetinge bevonden is in november 1766, beneffens de diepten aan de 's Gravenwaardsche en Herwensche oevers;1767
1874-272561;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/35/23/25/35232562714709405119515231418440163061.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272561;Kaart van het Pannerdense Kanaal en Spyk met de veranderde loop der Boven en Beneden Ryn en Waal omtrent Schenken-Schans en Herwen;1766
1874-272562;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/31/59/93/31599369159020052136667414688638074996.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272562;"Kaart van de rivier de Waal boven en beneden den mond van het Pannerdensche Canaal, met de peilingen door Beyerinck, Bolstra en Veltgen in november 1766, gedaan op een waters-hoogte van 2Â¾ tot 2Â½ voet aan de peilschaal in Arnhem; beneffens de middelen t";1766
1874-272619;http://objects.library.uu.nl/fcgi-bin/iipsrv.fcgi?zoomify=/manifestation/viewer/12/77/14/127714013402268376933688761697652177191.jp2/ImageProperties.xml;Zoomify;http://objects.library.uu.nl/reader/index.php?obj=1874-272619;Kaart van de beneeden rivier de Maas en de Merwede, van de Noord Zee tot Hardinksveld;1741
