PPN;SYS
036341541;000728171
036341460;000693771
060747714;000463910
82095036X;000019536
059227516;000153213
059337486;000192153
042607108;000794641
05924755X;000157841
168624222;001732651
059841818;000309856
041475372;000343010
086600648;001780237
066571618;001761344
062933973;000737143
059281855;000170783
180808311;001805054
059050799;000084267
059036850;000079149
089302028;001843393
049712489;000737497
143044117;001804320
82261569X;000081440
058892451;000010455
06003257X;000364968
047250178;000016805
062933159;000736966
864329202;000277171
036086533;000939741
094904952;000161105
060736666;000451665
180143433;001799233
125621647;000721622
185676324;001852904
173529410;001767680
062932292;000736814
043445365;000023609
821405101;000531882
036068225;000806388
038321289;000036083
037188518;000013860
801512409;000571877
164430687;001704616
03606467X;000815426
820306614;000169003
110486935;001479543
169860639;001740137
854118772;000929128
043552617;000652575
088948684;001687069
03671710X;000738013
046025413;000941115
06098936X;000521543
037981331;000983565
830645454;000862518
056401205;001487527
058875530;000001408
163888752;000543012
840349998;000883923
055088244;001705816
139336419;000303430
102350515;001496817
043291783;001739504
089355954;001090921
181022184;001807827
181045109;001808084
084762209;000976903
063311259;000851925
039950581;001848382
820904961;001833227
059265892;000163272
038113880;001737790
822385899;000974553
843281359;000974556
051154145;000939838
05081558X;000071329
821825755;001448627
036345903;000728163
146957210;001613890
063259044;000841003
159599393;001671800
036327948;001793073
048221864;000014357
063277743;000846048
13717991X;001800455
180484834;001801671
121693945;000988141
052339580;001447430
112659683;001413596
048740594;001393540
042622913;001364164
038256606;001349611
114178763;001449987
047566833;001387925
087719908;001260959
089840631;001277045
043433243;000010484
059521104;000217395
138906041;001805283
267973136;001810119
064189031;001020017
084760931;001450524
057426333;000123260
04813368X;001765885
86433625X;000010210
060752831;000465399
150998937;001670459
098424874;000966279
184535417;001840635
059700327;000262194
060056681;000373292
079410995;001805284
185399835;001853508
180459090;001801397
164079580;001701507
060878118;000493435
802917658;000518695
063185172;000823909
048460435;001727831
83035672X;000238863
865688982;001644297
159850037;000993182
063259028;000840999
067214401;001844355
06331665X;000853543
164315225;001703330
864222475;000049780
045853215;000529854
058647023;000974796
088225151;001468858
833328778;001496605
062687905;000686090
040871096;001354421
85312065X;001500416
051827050;001472795
037349708;001289383
047791594;001496649
051000792;001354475
185970923;001855071
083877274;001827594
181929031;001816426
121260631;001699227
098258656;001793568
120968819;001499553
12191089X;001507699
113504632;001431859
036442836;001277121
085850853;001239624
049544225;001333634
040879100;001354416
048079634;001392944
053566602;001468823
041547101;001367502
089833104;001276965
120201348;001494169
843999373;000061677
165417242;001706126
